time,LeftHipRoll_q_cmd,LeftHipRoll_dq_cmd,LeftHipRoll_tau_cmd,LeftHipRoll_q_meas,LeftHipRoll_dq_meas,LeftHipRoll_ddq_meas,LeftHipRoll_tau_meas,LeftKnee_q_cmd,LeftKnee_dq_cmd,LeftKnee_tau_cmd,LeftKnee_q_meas,LeftKnee_dq_meas,LeftKnee_ddq_meas,LeftKnee_tau_meas
4.199999999988657251e-02,1.355681438015567064e+00,1.660730098358703666e-02,0.000000000000000000e+00,9.990372061729431152e-01,3.124692738056182861e-01,0.000000000000000000e+00,3.365625000000000000e+01,8.956814380155670996e-01,1.660730098358703666e-02,0.000000000000000000e+00,8.241652846336364746e-01,2.154372632503509521e-01,0.000000000000000000e+00,6.750000000000000000e+00
4.399999999988635224e-02,1.355748720912668848e+00,1.743531975782314225e-02,0.000000000000000000e+00,9.996763467788696289e-01,3.143438398838043213e-01,0.000000000000000000e+00,3.412500000000000000e+01,8.957487209126689942e-01,1.743531975782314225e-02,0.000000000000000000e+00,8.245168328285217285e-01,2.149103432893753052e-01,0.000000000000000000e+00,6.937500000000000000e+00
4.599999999988613197e-02,1.355819248113790954e+00,1.826657353180182602e-02,0.000000000000000000e+00,1.000379323959350586e+00,3.186806142330169678e-01,0.000000000000000000e+00,3.459375000000000000e+01,8.958192481137911001e-01,1.826657353180182602e-02,0.000000000000000000e+00,8.248203992843627930e-01,2.115859687328338623e-01,0.000000000000000000e+00,6.562500000000000000e+00
4.799999999988591171e-02,1.355893029436662012e+00,1.910104136509840900e-02,0.000000000000000000e+00,1.001258254051208496e+00,3.309690952301025391e-01,0.000000000000000000e+00,3.534375000000000000e+01,8.958930294366619362e-01,1.910104136509840900e-02,0.000000000000000000e+00,8.251399993896484375e-01,2.052549123764038086e-01,0.000000000000000000e+00,7.031250000000000000e+00
4.999999999988569144e-02,1.355970074643930934e+00,1.993870199952622532e-02,0.000000000000000000e+00,1.002184987068176270e+00,3.456024527549743652e-01,0.000000000000000000e+00,3.515625000000000000e+01,8.959700746439309693e-01,1.993870199952622532e-02,0.000000000000000000e+00,8.254915475845336914e-01,1.973575502634048462e-01,0.000000000000000000e+00,5.906250000000000000e+00
5.199999999988547117e-02,1.356050393442375768e+00,2.077953385728071797e-02,0.000000000000000000e+00,1.002920031547546387e+00,3.524430394172668457e-01,0.000000000000000000e+00,3.421875000000000000e+01,8.960503934423758032e-01,2.077953385728071797e-02,0.000000000000000000e+00,8.254915475845336914e-01,1.973575502634048462e-01,0.000000000000000000e+00,5.906250000000000000e+00
5.399999999988525090e-02,1.356133995482105892e+00,2.162351503908756939e-02,0.000000000000000000e+00,1.003447294235229492e+00,3.504497408866882324e-01,0.000000000000000000e+00,3.375000000000000000e+01,8.961339954821060383e-01,2.162351503908756939e-02,0.000000000000000000e+00,8.259069919586181641e-01,1.876074224710464478e-01,0.000000000000000000e+00,6.562500000000000000e+00
5.599999999988503063e-02,1.356220890355761322e+00,2.247062332235496424e-02,0.000000000000000000e+00,1.003447294235229492e+00,3.504497408866882324e-01,0.000000000000000000e+00,3.375000000000000000e+01,8.962208903557614681e-01,2.247062332235496424e-02,0.000000000000000000e+00,8.263703584671020508e-01,1.777736097574234009e-01,0.000000000000000000e+00,6.281250000000000000e+00
5.799999999988481036e-02,1.356311087597706688e+00,2.332083615933011264e-02,0.000000000000000000e+00,1.003910779953002930e+00,3.395839333534240723e-01,0.000000000000000000e+00,3.459375000000000000e+01,8.963110875977067238e-01,2.332083615933011264e-02,0.000000000000000000e+00,8.267858028411865234e-01,1.707165539264678955e-01,0.000000000000000000e+00,6.562500000000000000e+00
5.999999999988459010e-02,1.356404596683220998e+00,2.417413067526030107e-02,0.000000000000000000e+00,1.004374146461486816e+00,3.228857219219207764e-01,0.000000000000000000e+00,3.403125000000000000e+01,8.964045966832211443e-01,2.417413067526030107e-02,0.000000000000000000e+00,8.271692991256713867e-01,1.662831902503967285e-01,0.000000000000000000e+00,6.375000000000000000e+00
6.199999999988436983e-02,1.356501427027684059e+00,2.503048366655850898e-02,0.000000000000000000e+00,1.004901409149169922e+00,3.045238256454467773e-01,0.000000000000000000e+00,3.450000000000000000e+01,8.965014270276840946e-01,2.503048366655850898e-02,0.000000000000000000e+00,8.274888992309570312e-01,1.642197817564010620e-01,0.000000000000000000e+00,6.187500000000000000e+00
6.399999999988414956e-02,1.356601587985756252e+00,2.588987159897385149e-02,0.000000000000000000e+00,1.005668401718139648e+00,2.973444461822509766e-01,0.000000000000000000e+00,3.487500000000000000e+01,8.966015879857562876e-01,2.588987159897385149e-02,0.000000000000000000e+00,8.277605175971984863e-01,1.626566350460052490e-01,0.000000000000000000e+00,6.281250000000000000e+00
6.599999999988392929e-02,1.356705088850556518e+00,2.675227060576694516e-02,0.000000000000000000e+00,1.006531238555908203e+00,2.958104610443115234e-01,0.000000000000000000e+00,3.487500000000000000e+01,8.967050888505564421e-01,2.675227060576694516e-02,0.000000000000000000e+00,8.280162215232849121e-01,1.604883968830108643e-01,0.000000000000000000e+00,6.281250000000000000e+00
6.799999999988370902e-02,1.356811938852833244e+00,2.761765648589043637e-02,0.000000000000000000e+00,1.007266283035278320e+00,2.904697358608245850e-01,0.000000000000000000e+00,3.421875000000000000e+01,8.968119388528333902e-01,2.761765648589043637e-02,0.000000000000000000e+00,8.280162215232849121e-01,1.604883968830108643e-01,0.000000000000000000e+00,6.281250000000000000e+00
