time,q_cmd,dq_cmd,tau_cmd,q_meas,dq_meas,ddq_meas,tau_meas
1.159999999998784226e-01,9.363437779306523767e-01,3.404925892320222469e-01,0.000000000000000000e+00,8.042395114898681641e-01,2.257633656263351440e-01,0.000000000000000000e+00,1.275000000000000000e+01
1.179999999998782023e-01,9.377484932710502541e-01,3.455261556232885334e-01,0.000000000000000000e+00,8.058374524116516113e-01,2.461044788360595703e-01,0.000000000000000000e+00,1.284375000000000000e+01
1.199999999998779820e-01,9.391749463220736560e-01,3.505174773053445492e-01,0.000000000000000000e+00,8.058374524116516113e-01,2.461044788360595703e-01,0.000000000000000000e+00,1.284375000000000000e+01
1.219999999998777618e-01,9.406230230999225173e-01,3.554658953991819414e-01,0.000000000000000000e+00,8.071636557579040527e-01,2.623620927333831787e-01,0.000000000000000000e+00,1.256250000000000000e+01
1.239999999998775415e-01,9.420926078446126839e-01,3.603707538670188892e-01,0.000000000000000000e+00,8.071636557579040527e-01,2.623620927333831787e-01,0.000000000000000000e+00,1.256250000000000000e+01
1.259999999998773212e-01,9.435835830268598512e-01,3.652313995563866156e-01,0.000000000000000000e+00,8.087935447692871094e-01,2.973685562610626221e-01,0.000000000000000000e+00,1.368750000000000000e+01
1.279999999998771010e-01,9.450958293550683065e-01,3.700471822440551950e-01,0.000000000000000000e+00,8.087935447692871094e-01,2.973685562610626221e-01,0.000000000000000000e+00,1.368750000000000000e+01
1.299999999998768807e-01,9.466292257824264755e-01,3.748174546797977125e-01,0.000000000000000000e+00,8.106470704078674316e-01,3.418146967887878418e-01,0.000000000000000000e+00,1.284375000000000000e+01
1.319999999998766604e-01,9.481836495141069410e-01,3.795415726299893877e-01,0.000000000000000000e+00,8.106470704078674316e-01,3.418146967887878418e-01,0.000000000000000000e+00,1.284375000000000000e+01
1.339999999998764402e-01,9.497589760145728199e-01,3.842188949210393334e-01,0.000000000000000000e+00,8.120212554931640625e-01,3.651345670223236084e-01,0.000000000000000000e+00,1.256250000000000000e+01
1.359999999998762199e-01,9.513550790149872816e-01,3.888487834826528378e-01,0.000000000000000000e+00,8.120212554931640625e-01,3.651345670223236084e-01,0.000000000000000000e+00,1.256250000000000000e+01
1.379999999998759996e-01,9.529718305207284246e-01,3.934306033909211187e-01,0.000000000000000000e+00,8.128362298011779785e-01,3.731135427951812744e-01,0.000000000000000000e+00,1.331250000000000000e+01
1.399999999998757794e-01,9.546091008190078497e-01,3.979637229112374386e-01,0.000000000000000000e+00,8.128362298011779785e-01,3.731135427951812744e-01,0.000000000000000000e+00,1.331250000000000000e+01
1.419999999998755591e-01,9.562667584865923720e-01,4.024475135410352511e-01,0.000000000000000000e+00,8.147377371788024902e-01,3.883948922157287598e-01,0.000000000000000000e+00,1.350000000000000000e+01
1.439999999998753388e-01,9.579446703976290944e-01,4.068813500523479343e-01,0.000000000000000000e+00,8.147377371788024902e-01,3.883948922157287598e-01,0.000000000000000000e+00,1.350000000000000000e+01
1.459999999998751186e-01,9.596427017315729557e-01,4.112646105341862257e-01,0.000000000000000000e+00,8.162716627120971680e-01,3.948910534381866455e-01,0.000000000000000000e+00,1.359375000000000000e+01
